USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 2315800   3892 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [rcu_par_gp]
root             6     2       0      0 0                   0 I [kworker/0:0H-kblockd]
root             8     2       0      0 0                   0 I [mm_percpu_wq]
root             9     2       0      0 0                   0 S [ksoftirqd/0]
root            10     2       0      0 0                   0 I [rcu_preempt]
root            11     2       0      0 0                   0 I [rcu_sched]
root            12     2       0      0 0                   0 I [rcu_bh]
root            13     2       0      0 0                   0 S [rcuop/0]
root            14     2       0      0 0                   0 S [rcuos/0]
root            15     2       0      0 0                   0 S [rcuob/0]
root            16     2       0      0 0                   0 S [migration/0]
root            17     2       0      0 0                   0 S [cpuhp/0]
root            18     2       0      0 0                   0 S [cpuhp/1]
root            19     2       0      0 0                   0 S [migration/1]
root            21     2       0      0 0                   0 S [ksoftirqd/1]
root            24     2       0      0 0                   0 S [rcuop/1]
root            25     2       0      0 0                   0 S [rcuos/1]
root            26     2       0      0 0                   0 S [rcuob/1]
root            27     2       0      0 0                   0 S [cpuhp/2]
root            28     2       0      0 0                   0 S [migration/2]
root            29     2       0      0 0                   0 S [ksoftirqd/2]
root            32     2       0      0 0                   0 S [rcuop/2]
root            33     2       0      0 0                   0 S [rcuos/2]
root            34     2       0      0 0                   0 S [rcuob/2]
root            35     2       0      0 0                   0 S [cpuhp/3]
root            36     2       0      0 0                   0 S [migration/3]
root            37     2       0      0 0                   0 S [ksoftirqd/3]
root            40     2       0      0 0                   0 S [rcuop/3]
root            41     2       0      0 0                   0 S [rcuos/3]
root            42     2       0      0 0                   0 S [rcuob/3]
root            43     2       0      0 0                   0 S [cpuhp/4]
root            44     2       0      0 0                   0 S [migration/4]
root            45     2       0      0 0                   0 S [ksoftirqd/4]
root            48     2       0      0 0                   0 S [rcuop/4]
root            49     2       0      0 0                   0 S [rcuos/4]
root            50     2       0      0 0                   0 S [rcuob/4]
root            51     2       0      0 0                   0 S [cpuhp/5]
root            52     2       0      0 0                   0 S [migration/5]
root            53     2       0      0 0                   0 S [ksoftirqd/5]
root            56     2       0      0 0                   0 S [rcuop/5]
root            57     2       0      0 0                   0 S [rcuos/5]
root            58     2       0      0 0                   0 S [rcuob/5]
root            59     2       0      0 0                   0 S [cpuhp/6]
root            60     2       0      0 0                   0 S [migration/6]
root            61     2       0      0 0                   0 S [ksoftirqd/6]
root            63     2       0      0 0                   0 I [kworker/6:0H-events_highpri]
root            64     2       0      0 0                   0 S [rcuop/6]
root            65     2       0      0 0                   0 S [rcuos/6]
root            66     2       0      0 0                   0 S [rcuob/6]
root            67     2       0      0 0                   0 S [cpuhp/7]
root            68     2       0      0 0                   0 S [migration/7]
root            69     2       0      0 0                   0 S [ksoftirqd/7]
root            72     2       0      0 0                   0 S [rcuop/7]
root            73     2       0      0 0                   0 S [rcuos/7]
root            74     2       0      0 0                   0 S [rcuob/7]
root            75     2       0      0 0                   0 I [netns]
root            76     2       0      0 0                   0 S [rcu_tasks_kthre]
root            77     2       0      0 0                   0 S [kauditd]
root            87     2       0      0 0                   0 I [ipa_usb_wq]
root            88     2       0      0 0                   0 S [msm_watchdog]
root            89     2       0      0 0                   0 S [glink_rpm-glink]
root            90     2       0      0 0                   0 S [oom_reaper]
root            91     2       0      0 0                   0 I [writeback]
root            92     2       0      0 0                   0 S [kcompactd0]
root            93     2       0      0 0                   0 I [crypto]
root            94     2       0      0 0                   0 I [kblockd]
root            95     2       0      0 0                   0 I [blk_crypto_wq]
root            96     2       0      0 0                   0 S [irq/28-tsens-up]
root            97     2       0      0 0                   0 S [irq/29-tsens-cr]
root            98     2       0      0 0                   0 S [ion-pool-uncach]
root            99     2       0      0 0                   0 S [ion-pool-cached]
root           100     2       0      0 0                   0 S [system]
root           101     2       0      0 0                   0 I [devfreq_wq]
root           102     2       0      0 0                   0 I [governor_msm_ad]
root           104     2       0      0 0                   0 S [irq/179-qpnp_lc]
root           105     2       0      0 0                   0 S [irq/59-arm-smmu]
root           106     2       0      0 0                   0 I [cfg80211]
root           107     2       0      0 0                   0 S [irq/68-arm-smmu]
root           109     2       0      0 0                   0 I [ipa_power_mgmt]
root           110     2       0      0 0                   0 I [transport_power]
root           111     2       0      0 0                   0 I [ipa_pm_activate]
root           112     2       0      0 0                   0 S [irq/73-arm-smmu]
root           113     2       0      0 0                   0 S [irq/74-arm-smmu]
root           114     2       0      0 0                   0 S [irq/75-arm-smmu]
root           115     2       0      0 0                   0 S [irq/76-arm-smmu]
root           152     2       0      0 0                   0 S [kswapd0:0]
root           153     2       0      0 0                   0 S [kswapd0:1]
root           190     2       0      0 0                   0 S [irq/77-arm-smmu]
root           191     2       0      0 0                   0 S [irq/30-smp2p]
root           192     2       0      0 0                   0 S [irq/31-smp2p]
root           193     2       0      0 0                   0 S [irq/32-smp2p]
root           194     2       0      0 0                   0 I [mem_share_svc]
root           195     2       0      0 0                   0 S [irq/78-arm-smmu]
root           196     2       0      0 0                   0 I [geni_serial_dum]
root           197     2       0      0 0                   0 S [hwrng]
root           199     2       0      0 0                   0 I [diag_real_time_]
root           200     2       0      0 0                   0 I [diag_wq]
root           201     2       0      0 0                   0 I [DIAG_USB_diag]
root           202     2       0      0 0                   0 I [diag_cntl_wq]
root           203     2       0      0 0                   0 I [diag_dci_wq]
root           204     2       0      0 0                   0 I [MODEM_CNTL]
root           205     2       0      0 0                   0 I [MODEM_DATA]
root           206     2       0      0 0                   0 I [MODEM_CMD]
root           207     2       0      0 0                   0 I [MODEM_DCI]
root           208     2       0      0 0                   0 I [MODEM_DCI_CMD]
root           209     2       0      0 0                   0 I [LPASS_CNTL]
root           210     2       0      0 0                   0 I [LPASS_DATA]
root           211     2       0      0 0                   0 I [LPASS_CMD]
root           212     2       0      0 0                   0 I [LPASS_DCI]
root           213     2       0      0 0                   0 I [LPASS_DCI_CMD]
root           214     2       0      0 0                   0 I [WCNSS_CNTL]
root           215     2       0      0 0                   0 I [WCNSS_DATA]
root           216     2       0      0 0                   0 I [WCNSS_CMD]
root           217     2       0      0 0                   0 I [WCNSS_DCI]
root           218     2       0      0 0                   0 I [WCNSS_DCI_CMD]
root           219     2       0      0 0                   0 I [SENSORS_CNTL]
root           220     2       0      0 0                   0 I [SENSORS_DATA]
root           221     2       0      0 0                   0 I [SENSORS_CMD]
root           222     2       0      0 0                   0 I [SENSORS_DCI]
root           223     2       0      0 0                   0 I [SENSORS_DCI_CMD]
root           224     2       0      0 0                   0 I [DIAG_CTRL]
root           225     2       0      0 0                   0 I [DIAG_DATA]
root           226     2       0      0 0                   0 I [DIAG_CMD]
root           227     2       0      0 0                   0 I [DIAG_DCI_DATA]
root           228     2       0      0 0                   0 I [DIAG_DCI_CMD]
root           229     2       0      0 0                   0 I [CDSP_CNTL]
root           230     2       0      0 0                   0 I [CDSP_DATA]
root           231     2       0      0 0                   0 I [CDSP_CMD]
root           232     2       0      0 0                   0 I [CDSP_DCI]
root           233     2       0      0 0                   0 I [CDSP_DCI_CMD]
root           234     2       0      0 0                   0 I [NPU_CNTL]
root           235     2       0      0 0                   0 I [NPU_DATA]
root           236     2       0      0 0                   0 I [NPU_CMD]
root           237     2       0      0 0                   0 I [NPU_DCI]
root           238     2       0      0 0                   0 I [NPU_DCI_CMD]
root           239     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           240     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           242     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           243     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           244     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           245     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           246     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           247     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           248     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           249     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           250     2       0      0 0                   0 I [DIAG_RPMSG_APPS]
root           251     2       0      0 0                   0 I [DIAG_RPMSG_APPS]
root           252     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           253     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           254     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           255     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           256     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           257     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           258     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           259     2       0      0 0                   0 I [DIAG_RPMSG_DIAG]
root           261     2       0      0 0                   0 S [kworker/u16:4+MODEM_DCI_CMD]
root           263     2       0      0 0                   0 I [kgsl-workqueue]
root           266     2       0      0 0                   0 I [kgsl-mementry]
root           267     2       0      0 0                   0 S [kgsl_worker_thr]
root           269     2       0      0 0                   0 S [qseecom-unreg-l]
root           270     2       0      0 0                   0 S [qseecom-unload-]
root           271     2       0      0 0                   0 I [silfp_wq]
root           272     2       0      0 0                   0 S [irq/79-arm-smmu]
root           273     2       0      0 0                   0 S [irq/80-arm-smmu]
root           274     2       0      0 0                   0 S [irq/81-arm-smmu]
root           275     2       0      0 0                   0 I [qcrypto_seq_res]
root           276     2       0      0 0                   0 S [scsi_eh_0]
root           277     2       0      0 0                   0 I [scsi_tmf_0]
root           278     2       0      0 0                   0 I [ufs_pm_qos_0]
root           279     2       0      0 0                   0 I [ufs_recovery_wq]
root           280     2       0      0 0                   0 I [ufs_clk_gating_]
root           281     2       0      0 0                   0 I [ufs_clkscaling_]
root           283     2       0      0 0                   0 S [spi0]
root           284     2       0      0 0                   0 S [spi1]
root           285     2       0      0 0                   0 I [bond0]
root           286     2       0      0 0                   0 S [irq/70-arm-smmu]
root           290     2       0      0 0                   0 I [k_ipa_usb]
root           291     2       0      0 0                   0 S [irq/167-qcom,te]
root           292     2       0      0 0                   0 S [irq/187-qcom,te]
root           293     2       0      0 0                   0 S [irq/176-bcl-lvl]
root           294     2       0      0 0                   0 S [irq/177-bcl-lvl]
root           295     2       0      0 0                   0 S [irq/178-bcl-lvl]
root           296     2       0      0 0                   0 S [irq/198-limits_]
root           297     2       0      0 0                   0 S [irq/198-limits_]
root           302     2       0      0 0                   0 I [kworker/4:1H-kblockd]
root           303     2       0      0 0                   0 I [kworker/5:1H-kblockd]
root           304     2       0      0 0                   0 I [kworker/6:1H-kblockd]
root           305     2       0      0 0                   0 I [kworker/7:1H-kblockd]
root           306     2       0      0 0                   0 I [dm_bufio_cache]
root           307     2       0      0 0                   0 S [kworker/u16:9+LPASS_CMD]
root           309     2       0      0 0                   0 I [memlat_wq]
root           310     2       0      0 0                   0 S [irq/26-4784000.]
root           311     2       0      0 0                   0 S [irq/82-arm-smmu]
root           312     2       0      0 0                   0 S [irq/25-mmc0]
root           313     2       0      0 0                   0 S [irq/53-apps-tgu]
root           314     2       0      0 0                   0 S [irq/54-apps-tgu]
root           315     2       0      0 0                   0 S [irq/55-apps-tgu]
root           316     2       0      0 0                   0 S [irq/56-apps-tgu]
root           317     2       0      0 0                   0 S [irq/83-arm-smmu]
root           318     2       0      0 0                   0 I [uaudio_svc]
root           319     2       0      0 0                   0 S [irq/84-arm-smmu]
root           320     2       0      0 0                   0 S [irq/85-arm-smmu]
root           322     2       0      0 0                   0 S [irq/86-arm-smmu]
root           323     2       0      0 0                   0 S [kworker/u16:12+MODEM_CMD]
root           325     2       0      0 0                   0 I [cam-cpas]
root           326     2       0      0 0                   0 I [qcom,cam_virtua]
root           327     2       0      0 0                   0 I [qcom,cam-cpas-c]
root           328     2       0      0 0                   0 I [qcom,cam-cpas-c]
root           330     2       0      0 0                   0 I [qcom,cam-cpas-c]
root           331     2       0      0 0                   0 I [qcom,cam-cpas-c]
root           333     2       0      0 0                   0 S [kworker/u16:15+CDSP_CMD]
root           336     2       0      0 0                   0 I [qcom,cam-ope-cd]
root           337     2       0      0 0                   0 I [qcom,cam-ope-cd]
root           338     2       0      0 0                   0 I [qcom,cam-ope-cd]
root           339     2       0      0 0                   0 I [qcom,cam-ope-cd]
root           340     2       0      0 0                   0 I [cam_cci_wq]
root           341     2       0      0 0                   0 I [cam_cci_wq]
root           342     2       0      0 0                   0 S [irq/220-4784000]
root           343     2       0      0 0                   0 I [dsi_dma_cmd_wor]
root           344     2       0      0 0                   0 S [irq/72-arm-smmu]
root           345     2       0      0 0                   0 S [irq/87-arm-smmu]
root           346     2       0      0 0                   0 S [crtc_commit:72]
root           347     2       0      0 0                   0 S [crtc_event:72]
root           348     2       0      0 0                   0 S [pp_event]
root           349     2       0      0 0                   0 I [msm_vidc_worker]
root           350     2       0      0 0                   0 I [pm_workerq_venu]
root           351     2       0      0 0                   0 I [vidc_core_workq]
root           352     2       0      0 0                   0 S [irq/88-arm-smmu]
root           353     2       0      0 0                   0 S [irq/89-arm-smmu]
root           354     2       0      0 0                   0 S [irq/90-arm-smmu]
root           355     2       0      0 0                   0 S [irq/91-arm-smmu]
root           356     2       0      0 0                   0 I [ipv6_addrconf]
root           358     2       0      0 0                   0 S [irq/60-arm-smmu]
root           359     2       0      0 0                   0 S [irq/61-arm-smmu]
root           360     2       0      0 0                   0 I [kgsl-events]
root           362     2       0      0 0                   0 I [kgsl_devfreq_wq]
root           367     2       0      0 0                   0 S [irq/224-chgr-er]
root           368     2       0      0 0                   0 S [irq/225-chg-sta]
root           370     2       0      0 0                   0 S [irq/232-otg-fai]
root           371     2       0      0 0                   0 S [irq/236-high-du]
root           372     2       0      0 0                   0 S [irq/237-input-c]
root           373     2       0      0 0                   0 S [irq/239-switche]
root           374     2       0      0 0                   0 S [irq/240-bat-tem]
root           375     2       0      0 0                   0 S [irq/242-bat-ov]
root           376     2       0      0 0                   0 S [irq/243-bat-low]
root           377     2       0      0 0                   0 S [irq/244-bat-the]
root           378     2       0      0 0                   0 S [irq/245-bat-ter]
root           379     2       0      0 0                   0 S [irq/248-usbin-c]
root           380     2       0      0 0                   0 S [irq/249-usbin-v]
root           381     2       0      0 0                   0 S [irq/250-usbin-u]
root           382     2       0      0 0                   0 S [irq/251-usbin-o]
root           383     2       0      0 0                   0 S [irq/252-usbin-p]
root           384     2       0      0 0                   0 S [irq/254-usbin-s]
root           385     2       0      0 0                   0 S [irq/255-usbin-i]
root           386     2       0      0 0                   0 S [irq/256-typec-o]
root           387     2       0      0 0                   0 S [irq/258-typec-c]
root           388     2       0      0 0                   0 S [irq/259-typec-v]
root           389     2       0      0 0                   0 S [irq/261-typec-a]
root           390     2       0      0 0                   0 S [irq/262-typec-l]
root           391     2       0      0 0                   0 S [irq/264-wdog-sn]
root           392     2       0      0 0                   0 S [irq/265-wdog-ba]
root           393     2       0      0 0                   0 S [irq/267-aicl-do]
root           394     2       0      0 0                   0 S [irq/268-smb-en]
root           395     2       0      0 0                   0 S [irq/270-temp-ch]
root           396     2       0      0 0                   0 S [irq/272-flash-s]
root           397     2       0      0 0                   0 S [irq/274-ilim2-s]
root           398     2       0      0 0                   0 S [irq/277-qg-vbat]
root           399     2       0      0 0                   0 S [irq/278-qg-vbat]
root           400     2       0      0 0                   0 S [irq/279-qg-fifo]
root           401     2       0      0 0                   0 S [irq/280-qg-good]
root           402     2       0      0 0                   0 S [irq/166-thr-int]
root           404     2       0      0 0                   0 S [irq/186-thr-int]
root           405     2       0      0 0                   0 S [irq/52-hs_phy_i]
root           407     2       0      0 0                   0 S [irq/50-pwr_even]
root           408     2       0      0 0                   0 S [irq/51-ss_phy_i]
root           409     2       0      0 0                   0 I [usb_bam_wq]
root           410     2       0      0 0                   0 S [core_ctl/0]
root           411     2       0      0 0                   0 S [core_ctl/4]
root           414     2       0      0 0                   0 I [rq_stats]
root           415     2       0      0 0                   0 S [msm_perf:events]
root           416     2       0      0 0                   0 S [cdsprm-wq]
root           417     2       0      0 0                   0 I [cdsprm-wq-delay]
root           419     2       0      0 0                   0 S [irq/92-arm-smmu]
root           420     2       0      0 0                   0 S [irq/93-arm-smmu]
root           421     2       0      0 0                   0 S [irq/94-arm-smmu]
root           422     2       0      0 0                   0 S [irq/95-arm-smmu]
root           423     2       0      0 0                   0 S [irq/96-arm-smmu]
root           424     2       0      0 0                   0 S [irq/97-arm-smmu]
root           425     2       0      0 0                   0 S [irq/98-arm-smmu]
root           426     2       0      0 0                   0 S [irq/99-arm-smmu]
root           427     2       0      0 0                   0 S [irq/100-arm-smm]
root           428     2       0      0 0                   0 S [irq/101-arm-smm]
root           429     2       0      0 0                   0 S [irq/102-arm-smm]
root           430     2       0      0 0                   0 S [irq/103-arm-smm]
root           432     2       0      0 0                   0 I [sb-1]
root           433     2       0      0 0                   0 S [ngd_rx_thread1]
root           434     2       0      0 0                   0 S [ngd_notify_sl1]
root           436     2       0      0 0                   0 S [irq/281-NVT-ts]
root           437     2       0      0 0                   0 I [nvt_fwu_wq]
root           439     2       0      0 0                   0 S [irq/182-qpnp_fl]
root           440     2       0      0 0                   0 S [irq/181-qpnp_fl]
root           441     2       0      0 0                   0 S [irq/180-qpnp_fl]
root           442     2       0      0 0                   0 S [irq/104-arm-smm]
root           443     2       0      0 0                   0 S [irq/105-arm-smm]
root           444     2       0      0 0                   0 S [rot_commitq_0_0]
root           445     2       0      0 0                   0 S [rot_commitq_0_1]
root           446     2       0      0 0                   0 S [rot_doneq_0_0]
root           447     2       0      0 0                   0 S [rot_doneq_0_1]
root           448     2       0      0 0                   0 S [rot_fenceq_0_0]
root           449     2       0      0 0                   0 S [rot_fenceq_0_1]
root           450     2       0      0 0                   0 S [rot_fenceq_0_2]
root           451     2       0      0 0                   0 S [rot_fenceq_0_3]
root           452     2       0      0 0                   0 S [rot_fenceq_0_4]
root           453     2       0      0 0                   0 S [rot_fenceq_0_5]
root           454     2       0      0 0                   0 S [rot_fenceq_0_6]
root           455     2       0      0 0                   0 S [rot_fenceq_0_7]
root           456     2       0      0 0                   0 S [rot_fenceq_0_8]
root           457     2       0      0 0                   0 S [rot_fenceq_0_9]
root           458     2       0      0 0                   0 S [rot_fenceq_0_10]
root           459     2       0      0 0                   0 S [rot_fenceq_0_11]
root           460     2       0      0 0                   0 S [rot_fenceq_0_12]
root           461     2       0      0 0                   0 S [rot_fenceq_0_13]
root           462     2       0      0 0                   0 S [rot_fenceq_0_14]
root           463     2       0      0 0                   0 S [rot_fenceq_0_15]
root           466     2       0      0 0                   0 S [jbd2/sda6-8]
root           467     2       0      0 0                   0 I [ext4-rsv-conver]
root           468     2       0      0 0                   0 I [kdmflush]
root           469     2       0      0 0                   0 I [kdmflush]
root           470     2       0      0 0                   0 I [kdmflush]
root           471     2       0      0 0                   0 I [kdmflush]
root           472     2       0      0 0                   0 I [kdmflush]
root           473     2       0      0 0                   0 I [kverityd]
root           474     2       0      0 0                   0 I [ext4-rsv-conver]
root           475     2       0      0 0                   0 I [kdmflush]
root           476     2       0      0 0                   0 I [kverityd]
root           477     2       0      0 0                   0 I [ext4-rsv-conver]
root           478     2       0      0 0                   0 I [kdmflush]
root           479     2       0      0 0                   0 I [kverityd]
root           480     2       0      0 0                   0 I [ext4-rsv-conver]
root           481     2       0      0 0                   0 I [kdmflush]
root           482     2       0      0 0                   0 I [kverityd]
root           483     2       0      0 0                   0 I [ext4-rsv-conver]
root           485     1 2368904   1904 0                   0 S init
root           488     1 2238600   3368 0                   0 S ueventd
root           502     2       0      0 0                   0 S [loop0]
root           503     2       0      0 0                   0 S [loop1]
root           504     2       0      0 0                   0 S [loop2]
root           505     2       0      0 0                   0 S [loop3]
root           506     2       0      0 0                   0 I [ext4-rsv-conver]
root           507     2       0      0 0                   0 I [ext4-rsv-conver]
root           508     2       0      0 0                   0 I [ext4-rsv-conver]
root           509     2       0      0 0                   0 I [ext4-rsv-conver]
root           515     2       0      0 0                   0 I [apr_driver]
logd           528     1 2278976   9404 0                   0 S logd
lmkd           529     1 2305436   7604 0                   0 S lmkd
system         530     1 2243976   3856 0                   0 S servicemanager
system         531     1 2218716   4472 0                   0 S hwservicemanager
system         532     1 2169884   2860 0                   0 S vndservicemanager
system         541     1 2355332    244 0                   0 S qseecomd
system         542     1 2220892   3148 0                   0 S android.hardware.keymaster@4.0-service-qti
system         543     1 2240012   2448 0                   0 S vendor.qti.hardware.qseecom@1.0-service
root           546     1 2230188    212 0                   0 S vold
root           563     2       0      0 0                   0 S [jbd2/sde53-8]
root           566     2       0      0 0                   0 I [ext4-rsv-conver]
root           569     2       0      0 0                   0 S [psimon]
root           587     2       0      0 0                   0 S [jbd2/sda7-8]
root           588     2       0      0 0                   0 I [ext4-rsv-conver]
root           589     2       0      0 0                   0 S [jbd2/sde44-8]
root           590     2       0      0 0                   0 I [ext4-rsv-conver]
root           591     2       0      0 0                   0 S [jbd2/sde55-8]
root           592     2       0      0 0                   0 I [ext4-rsv-conver]
root           594     1 2271260   2104 0                   0 S mqsasd
system         602     1 2238724   4100 0                   0 S android.system.suspend@1.0-service
keystore       603     1 2564180  12224 0                   0 S keystore2
system         604     1 2171784   2512 0                   0 S android.hardware.atrace@1.0-service
system         605     1 2264492   2716 0                   0 S android.hardware.gatekeeper@1.0-service-qti
system         606     1 2199900   2284 0                   0 S sscrpcd
root           619     2       0      0 0                   0 S [f2fs_ckpt-8:11]
root           620     2       0      0 0                   0 S [f2fs_flush-8:11]
root           621     2       0      0 0                   0 S [f2fs_discard-8:]
root           622     2       0      0 0                   0 S [f2fs_gc-8:11]
root           628     2       0      0 0                   0 I [kworker/u16:0-kverityd]
tombstoned     631     1 2172932   2380 0                   0 S tombstoned
root           640     2       0      0 0                   0 S [loop4]
root           641     2       0      0 0                   0 S [loop5]
root           642     2       0      0 0                   0 S [loop6]
root           643     2       0      0 0                   0 S [loop7]
root           644     2       0      0 0                   0 I [kdmflush]
root           645     2       0      0 0                   0 I [kverityd]
root           646     2       0      0 0                   0 I [kdmflush]
root           647     2       0      0 0                   0 I [kverityd]
root           648     2       0      0 0                   0 I [ext4-rsv-conver]
root           649     2       0      0 0                   0 I [ext4-rsv-conver]
root           650     2       0      0 0                   0 S [loop8]
root           651     2       0      0 0                   0 S [loop9]
root           652     2       0      0 0                   0 I [kdmflush]
root           653     2       0      0 0                   0 I [kverityd]
root           654     2       0      0 0                   0 I [kdmflush]
root           655     2       0      0 0                   0 I [kverityd]
root           656     2       0      0 0                   0 I [ext4-rsv-conver]
root           657     2       0      0 0                   0 S [loop10]
root           658     2       0      0 0                   0 I [kdmflush]
root           659     2       0      0 0                   0 I [kverityd]
root           660     2       0      0 0                   0 I [ext4-rsv-conver]
root           661     2       0      0 0                   0 S [loop11]
root           662     2       0      0 0                   0 I [kdmflush]
root           663     2       0      0 0                   0 I [kverityd]
root           664     2       0      0 0                   0 I [ext4-rsv-conver]
root           665     2       0      0 0                   0 I [ext4-rsv-conver]
root           666     2       0      0 0                   0 S [loop12]
root           667     2       0      0 0                   0 S [loop13]
root           668     2       0      0 0                   0 I [kdmflush]
root           669     2       0      0 0                   0 I [kverityd]
root           670     2       0      0 0                   0 I [ext4-rsv-conver]
